Table,No.,ID,PHead,STNo.,DeltX,DeltY,Angle,Height,Skip,Speed,Explain,Note,Delay
EComponent,0,1,1,1,28.0,7.06,180,0.5,4,0,+HV_2,19705-4003,0
EComponent,1,2,1,2,26.0,60.68,0,0.5,4,0,AMP-GREEN,AMP-GREEN,0
EComponent,2,3,1,3,25.0,60.42,0,0.5,4,0,AMP-RED,AMP-RED,0
EComponent,3,4,1,4,26.0,70.06,90,0.5,4,0,BRAKE,2-1445050-2,0
EComponent,4,5,1,5,62.0,43.4,-90,0.5,4,0,C1,4.7nF 1KV,0
EComponent,5,6,1,5,71.0,34.59,90,0.5,4,0,C2,4.7nF 1KV,0
EComponent,6,7,1,6,34.0,15.87,90,0.5,4,0,C3,UPM2A471MHD,0
EComponent,7,8,1,7,9.0,24.66,-90,0.5,4,0,C4,EEU-FR1E102B,0
EComponent,8,9,1,8,64.0,53.99,90,0.5,4,0,ECAT1,3-794630-8,0
EComponent,9,10,1,8,65.0,25.26,-90,0.5,4,0,ECAT2,3-794630-8,0
EComponent,10,11,1,8,47.0,44.47,0,0.5,4,0,ENC1 + Temp,3-794630-8,0
EComponent,11,12,1,9,57.0,41.22,90,0.5,4,0,ERR-RED,ERR-RED,0
EComponent,12,13,1,10,16.0,13.79,180,0.5,4,0,F1,0679L9150-05,0
EComponent,13,14,1,11,3.0,31.44,0,0.5,4,0,F2,3A,0
EComponent,14,15,1,12,49.0,8.9,-90,0.5,4,0,GND,74651174R,0
EComponent,15,16,1,13,73.0,51.1,180,0.5,4,0,IN L/A GREEN,IN L/A GREEN,0
EComponent,16,17,1,1,15.0,51.35,90,0.5,4,0,MOTU,19705-4003,0
EComponent,17,18,1,1,15.0,43.35,90,0.5,4,0,MOTV,19705-4003,0
EComponent,18,19,1,1,15.0,35.35,90,0.5,4,0,MOTW,19705-4003,0
EComponent,19,20,1,14,74.0,28.95,180,0.5,4,0,OUT L/A GREEN,OUT L/A GREEN,0
EComponent,20,21,1,15,64.0,47.37,180,0.5,4,0,R1,75R,0
EComponent,21,22,1,15,66.0,47.37,180,0.5,4,0,R2,75R,0
EComponent,22,23,1,15,61.0,46.52,90,0.5,4,0,R3,75R,0
EComponent,23,24,1,15,69.0,46.54,-90,0.5,4,0,R4,75R,0
EComponent,24,25,1,15,68.0,31.01,0,0.5,4,0,R5,75R,0
EComponent,25,26,1,15,66.0,31.01,0,0.5,4,0,R6,75R,0
EComponent,26,27,1,15,70.0,31.9,-90,0.5,4,0,R7,75R,0
EComponent,27,28,1,15,64.0,31.02,0,0.5,4,0,R8,75R,0
EComponent,28,29,1,16,66.0,19.01,90,0.5,4,0,R31,6.19k,0
EComponent,29,30,1,16,69.0,18.21,180,0.5,4,0,R32,6.19k,0
EComponent,30,31,1,17,62.0,16.61,180,0.5,4,0,R33,2k2,0
EComponent,31,32,1,18,48.0,31.44,0,0.5,4,0,RS,G800W305018EU,0
EComponent,32,33,1,19,57.0,39.43,90,0.5,4,0,RUN-GREEN,RUN-GREEN,0
EComponent,33,34,1,1,47.0,55.98,90,0.5,4,0,SHIELD,19705-4003,0
EComponent,34,35,1,20,53.0,66.82,90,0.5,4,0,STO,3-794630-4,0
EComponent,35,36,1,21,45.0,20.97,0,0.5,4,0,SW_1&2,2-1445050-3,0
EComponent,36,37,1,21,6.0,39.95,180,0.5,4,0,24V_IN,2-1445050-3,0
EComponent,37,38,1,21,15.0,58.78,-90,0.5,4,0,24V_IN_2,2-1445050-3,0
EComponent,38,39,1,22,66.0,16.73,90,0.5,4,0,Z7,6V2,0
EComponent,39,40,1,23,64.0,13.76,0,0.5,4,0,Z8,5V1,0
